model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7n4i_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_001	0.375	0.54	0.499	1.059	2.612	0.714	0.2	0.759	7n4i
7n4i_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_004	0.358	0.596	0.413	1.199	2.458	0.728	0.218	0.789	7n4i
7n4i_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_002	0.367	0.646	0.52	1.251	2.525	0.853	0.278	0.868	7n4i
7n4i_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_004	0.373	0.695	0.495	1.259	2.452	0.842	0.251	0.854	7n4i
7n4i_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_003	0.357	0.582	0.438	1.151	2.585	0.735	0.238	0.809	7n4i
7n4i_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003	0.359	0.565	0.457	1.131	2.356	0.673	0.295	0.864	7n4i
7n4i_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_000	0.372	0.658	0.45	1.241	2.519	0.82	0.237	0.842	7n4i
7n4i_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_001	0.368	0.631	0.46	1.227	2.519	0.819	0.233	0.833	7n4i
7n4i_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.363	0.553	0.444	1.101	2.674	0.718	0.254	0.861	7n4i
7n4i_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_000	0.339	0.64	0.466	0.91	1.595	0.555	0.279	0.811	7n4i
7n4i_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_001	0.351	0.547	0.44	1.15	2.42	0.644	0.237	0.752	7n4i
7n4i_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_003	0.35	0.533	0.465	1.046	2.398	0.634	0.22	0.729	7n4i
7n4i_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	0.373	0.569	0.47	1.121	2.4	0.694	0.272	0.913	7n4i
7n4i_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_003	0.369	0.672	0.433	1.221	2.449	0.798	0.222	0.792	7n4i
7n4i_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	0.352	0.552	0.429	1.129	2.458	0.659	0.254	0.745	7n4i
7n4i_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_001	0.358	0.578	0.449	1.12	2.449	0.679	0.283	0.805	7n4i
7n4i_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_004	0.373	0.627	0.43	1.18	2.509	0.738	0.25	0.861	7n4i
7n4i_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_003	0.346	0.625	0.481	0.917	1.647	0.567	0.261	0.782	7n4i
7n4i_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_004	0.36	0.552	0.515	1.084	2.553	0.721	0.237	0.768	7n4i
7n4i_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	0.355	0.524	0.474	1.028	2.558	0.678	0.211	0.745	7n4i
7n4i_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_002	0.334	0.624	0.547	0.941	1.598	0.586	0.294	0.81	7n4i
7n4i_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_002	0.357	0.547	0.534	1.1	2.609	0.726	0.233	0.766	7n4i
7n4i_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_002	0.354	0.534	0.44	1.167	2.469	0.687	0.219	0.739	7n4i
7n4i_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_000	0.352	0.55	0.417	1.163	2.481	0.67	0.243	0.734	7n4i
7n4i_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_001	0.343	0.59	0.533	0.929	1.6	0.558	0.278	0.812	7n4i
7n4j_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_003	0.749	0.52	0.831	1.45	2.182	0.385	0.33	1.758	7n4j
7n4j_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_001	0.767	0.584	0.768	1.477	2.149	0.4	0.3	1.747	7n4j
7n4j_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_004	0.726	0.539	0.958	1.51	2.25	0.322	0.314	1.675	7n4j
7n4j_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_002	0.701	0.528	0.952	1.509	1.789	0.316	0.324	1.602	7n4j
7n4j_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	0.748	0.515	0.964	1.465	2.257	0.42	0.317	1.761	7n4j
7n4j_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_004	0.702	0.513	0.942	1.48	2.366	0.347	0.276	1.596	7n4j
7n4j_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_001	0.706	0.498	1.014	1.496	2.371	0.323	0.291	1.648	7n4j
7n4j_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	0.704	0.506	0.973	1.499	2.314	0.344	0.332	1.655	7n4j
7n4j_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004	0.716	0.502	1.065	1.537	2.154	0.495	0.259	1.698	7n4j
7n4j_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_002	0.703	0.49	1.109	1.551	2.072	0.48	0.264	1.709	7n4j
7n4j_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_003	0.718	0.52	0.889	1.465	2.222	0.347	0.339	1.682	7n4j
7n4j_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_002	0.724	0.51	0.92	1.51	2.122	0.304	0.328	1.697	7n4j
7n4j_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_001	0.733	0.582	0.939	1.481	2.082	0.386	0.298	1.683	7n4j
7n4j_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_003	0.709	0.521	0.979	1.508	1.67	0.31	0.29	1.622	7n4j
7n4j_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	0.745	0.528	0.776	1.448	2.28	0.38	0.333	1.746	7n4j
7n4j_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	0.723	0.522	0.838	1.462	2.2	0.344	0.359	1.683	7n4j
7n4j_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_001	0.733	0.528	1.005	1.49	2.323	0.489	0.241	1.706	7n4j
7n4j_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	0.734	0.507	0.992	1.514	1.904	0.375	0.292	1.738	7n4j
7n4j_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_000	0.737	0.519	0.998	1.51	2.061	0.427	0.271	1.704	7n4j
7n4j_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_002	0.903	0.525	0.721	1.49	2.307	1.975	0.362	1.792	7n4j
7n4j_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_004	0.733	0.519	0.844	1.456	2.179	0.358	0.318	1.701	7n4j
7n4j_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_001	0.729	0.508	1.106	1.514	1.811	0.509	0.261	1.716	7n4j
7n4j_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_003	0.692	0.505	0.987	1.462	2.614	0.357	0.287	1.608	7n4j
7n4j_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_004	0.759	0.533	0.735	1.447	2.216	0.385	0.344	1.774	7n4j
7n4j_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	0.694	0.496	1.084	1.518	2.128	0.478	0.266	1.649	7n4j
7np1_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_004	0.882	0.849	0.999	1.191	5.803	1.785	0.681	2.145	7np1
7np1_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_001	0.922	0.827	1.025	1.391	5.128	1.585	0.352	1.884	7np1
7np1_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_003	0.95	0.784	1.005	1.185	5.448	1.596	0.444	2.107	7np1
7np1_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_003	0.938	0.844	1.054	1.471	5.122	1.627	0.359	1.895	7np1
7np1_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_001	0.938	0.793	0.938	1.207	5.025	1.655	0.473	1.997	7np1
7np1_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_004	0.945	0.771	0.906	1.125	5.049	1.611	0.449	2.03	7np1
7np1_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_003	0.938	0.791	0.947	1.204	5.057	1.609	0.449	1.991	7np1
7np1_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_000	0.93	0.817	0.994	1.251	5.12	1.616	0.396	1.94	7np1
7np1_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_002	0.916	0.873	1.065	1.323	5.081	1.6	0.329	1.922	7np1
7np1_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_002	0.938	0.787	0.992	1.171	5.139	1.627	0.472	2.022	7np1
7np1_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.919	0.814	1.071	1.302	5.055	1.603	0.368	1.948	7np1
7np1_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	0.931	0.874	1.015	1.446	5.111	1.623	0.349	1.902	7np1
7np1_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	0.932	0.817	1.021	1.267	5.083	1.612	0.362	1.931	7np1
7np1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.926	0.864	1.071	1.312	5.089	1.617	0.327	1.934	7np1
7np1_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_001	0.978	0.958	1.076	1.392	5.497	2.054	0.724	2.696	7np1
7np1_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_002	0.921	0.814	1.042	1.429	5.118	1.553	0.325	1.876	7np1
7np1_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_002	0.918	0.812	1.008	1.208	5.108	1.595	0.367	1.902	7np1
7np1_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.923	0.859	1.075	1.308	5.085	1.614	0.344	1.979	7np1
7np1_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_001	0.92	0.801	1.012	1.247	5.123	1.582	0.369	1.924	7np1
7np1_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	0.926	0.814	1.036	1.269	5.102	1.596	0.362	1.907	7np1
7np1_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000	0.904	0.778	0.885	1.134	5.064	1.477	0.407	1.916	7np1
7np1_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	0.925	0.827	1.062	1.351	5.063	1.628	0.39	1.983	7np1
7np1_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	0.957	0.845	0.984	1.074	5.529	1.838	0.771	2.122	7np1
7np1_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_004	0.927	0.831	1.024	1.393	5.092	1.579	0.349	1.854	7np1
7np1_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_002	0.941	0.795	0.956	1.243	4.995	1.644	0.455	1.99	7np1
7nx3_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_004	0.348	0.635	0.938	0.708	2.47	0.681	0.588	0.675	7nx3
7nx3_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_001	7.468	9.323	0.62	0.611	9.981	0.511	0.63	10.844	7nx3
7nx3_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_002	0.394	0.732	1.205	1.011	2.659	1.018	0.696	0.743	7nx3
7nx3_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.385	0.682	1.057	0.852	3.673	0.82	0.623	0.621	7nx3
7nx3_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.374	0.659	1.031	0.817	2.599	0.769	0.594	0.608	7nx3
7nx3_unrelaxed_rank_011_alphafold2_multimer_v3_model_3_seed_000	0.351	0.647	0.927	0.701	2.425	0.732	0.611	0.686	7nx3
7nx3_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_003	0.392	0.729	1.015	0.908	2.861	0.819	0.612	0.637	7nx3
7nx3_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_001	13.386	19.023	17.022	13.904	22.22	30.877	16.558	27.387	7nx3
7nx3_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_001	0.381	0.786	1.13	0.951	2.673	0.982	0.703	0.775	7nx3
7nx3_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_002	0.369	0.683	1.052	0.907	2.871	0.816	0.61	0.645	7nx3
7nx3_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_004	0.378	0.692	1.051	0.871	2.733	0.818	0.605	0.668	7nx3
7nx3_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_003	0.394	0.741	1.195	1.04	2.624	1.0	0.692	0.745	7nx3
7nx3_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_003	0.363	0.662	1.005	0.83	2.555	0.822	0.647	0.681	7nx3
7nx3_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.384	0.702	1.104	0.885	2.667	0.825	0.643	0.683	7nx3
7nx3_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_001	0.415	0.761	1.354	1.102	4.623	1.177	0.758	0.618	7nx3
7nx3_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_004	0.396	0.738	1.178	0.98	2.74	0.95	0.689	0.755	7nx3
7nx3_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_000	0.403	0.731	1.165	0.971	2.684	0.992	0.674	0.709	7nx3
7nx3_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_002	0.356	0.658	1.054	0.795	2.578	0.809	0.64	0.708	7nx3
7nx3_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_000	0.391	0.753	1.237	1.065	2.924	1.115	0.706	0.687	7nx3
7nx3_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_002	13.49	18.572	19.123	15.535	24.052	28.143	15.23	25.9	7nx3
7nx3_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	0.385	0.784	1.171	0.974	2.702	1.034	0.719	0.724	7nx3
7nx3_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.344	0.626	0.876	0.671	2.467	0.678	0.588	0.7	7nx3
7nx3_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_003	0.413	0.759	1.32	1.088	2.048	1.19	0.739	0.621	7nx3
7nx3_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_003	0.386	0.703	1.084	0.912	2.844	0.835	0.621	0.62	7nx3
7nx3_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_004	0.368	0.729	1.17	0.993	2.059	1.041	0.693	0.754	7nx3
7phu_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.404	0.455	0.65	0.578	3.774	0.63	0.592	0.552	7phu
7phu_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_004	0.417	0.474	0.728	0.491	3.964	0.629	0.563	0.8	7phu
7phu_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	0.431	0.456	0.712	0.509	4.457	0.594	0.522	0.844	7phu
7phu_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_001	0.425	0.466	0.71	0.564	4.445	0.54	0.44	0.939	7phu
7phu_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	0.436	0.462	0.71	0.605	4.284	0.671	0.464	0.946	7phu
7phu_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_003	0.437	0.452	0.649	0.518	4.469	0.6	0.54	0.761	7phu
7phu_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_003	0.413	0.45	0.699	0.458	3.929	0.558	0.548	0.717	7phu
7phu_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	0.446	0.477	0.677	0.595	4.219	0.65	0.426	1.065	7phu
7phu_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.41	0.478	0.713	0.585	3.82	0.636	0.588	0.566	7phu
7phu_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_002	0.408	0.465	0.709	0.587	3.964	0.634	0.575	0.601	7phu
7phu_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_004	0.432	0.47	0.779	0.622	4.294	0.668	0.49	1.169	7phu
7phu_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_000	0.42	0.459	0.603	0.579	4.235	0.57	0.441	0.83	7phu
7phu_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_000	0.414	0.472	0.774	0.515	3.868	0.571	0.537	0.798	7phu
7phu_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	0.427	0.453	0.671	0.513	4.328	0.552	0.502	0.775	7phu
7phu_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_002	0.439	0.471	0.723	0.6	4.414	0.697	0.466	1.036	7phu
7phu_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_002	0.421	0.454	0.703	0.561	4.335	0.564	0.456	0.938	7phu
7phu_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_003	0.419	0.458	0.677	0.614	4.306	0.601	0.48	0.882	7phu
7phu_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.407	0.472	0.669	0.573	3.898	0.602	0.578	0.562	7phu
7phu_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	0.407	0.45	0.691	0.497	3.818	0.598	0.604	0.642	7phu
7phu_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_004	0.433	0.442	0.679	0.551	4.159	0.57	0.507	0.874	7phu
7phu_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_004	0.436	0.476	0.751	0.656	4.218	0.709	0.454	1.081	7phu
7phu_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_000	0.445	0.455	0.638	0.522	4.411	0.59	0.523	0.806	7phu
7phu_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	0.406	0.458	0.655	0.62	3.782	0.741	0.614	0.523	7phu
7phu_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	0.439	0.462	0.713	0.614	4.175	0.683	0.479	0.912	7phu
7phu_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_002	0.404	0.459	0.748	0.495	3.979	0.601	0.57	0.673	7phu
7phw_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_002	0.957	0.547	0.701	0.589	3.005	0.915	0.464	2.774	7phw
7phw_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	0.866	0.707	0.658	0.706	3.501	0.865	0.582	2.382	7phw
7phw_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_001	0.885	0.71	0.691	0.707	3.523	0.887	0.577	2.468	7phw
7phw_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_000	0.793	0.677	0.585	0.626	2.912	0.901	0.479	2.178	7phw
7phw_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_001	1.063	0.745	0.669	0.668	3.448	0.956	0.586	3.057	7phw
7phw_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	0.874	0.538	0.74	0.633	4.276	0.943	0.465	2.478	7phw
7phw_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.746	0.693	0.671	0.659	3.223	0.904	0.542	1.962	7phw
7phw_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_000	1.191	0.624	0.76	0.772	2.996	0.998	0.543	3.51	7phw
7phw_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_000	0.992	0.742	0.663	0.648	3.185	0.946	0.6	2.775	7phw
7phw_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	0.859	0.756	0.671	0.666	2.918	0.966	0.61	2.279	7phw
7phw_unrelaxed_rank_009_alphafold2_multimer_v3_model_3_seed_004	0.949	0.696	0.661	0.685	2.847	0.951	0.55	2.742	7phw
7phw_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_004	1.066	0.564	0.738	0.722	3.202	0.985	0.529	3.161	7phw
7phw_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_004	1.077	0.755	0.673	0.674	3.446	0.975	0.629	3.081	7phw
7phw_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.708	0.702	0.638	0.672	3.082	0.917	0.54	1.815	7phw
7phw_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_002	1.041	0.597	0.836	0.821	3.135	1.024	0.594	3.02	7phw
7phw_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_000	0.924	0.588	0.686	0.732	2.881	0.931	0.541	2.613	7phw
7phw_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	0.862	0.748	0.679	0.661	2.958	0.969	0.61	2.307	7phw
7phw_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_001	1.033	0.584	0.782	0.693	3.004	0.995	0.532	3.05	7phw
7phw_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.883	0.712	0.648	0.677	2.964	0.934	0.502	2.479	7phw
7phw_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_003	1.03	0.549	0.691	0.69	3.02	0.95	0.489	3.054	7phw
7phw_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.922	0.649	0.618	0.6	2.93	0.948	0.455	2.66	7phw
7phw_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	1.174	0.697	0.621	0.842	3.207	0.912	0.49	3.455	7phw
7phw_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	0.818	0.698	0.628	0.663	3.292	0.886	0.56	2.226	7phw
7phw_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_004	1.057	0.603	0.748	0.67	4.03	0.993	0.52	3.156	7phw
7phw_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_001	0.997	0.701	0.713	0.757	2.877	0.992	0.55	2.887	7phw
7pi7_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_004	0.459	0.892	0.626	0.649	0.704	0.746	0.587	1.213	7pi7
7pi7_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	0.442	0.78	0.698	0.646	0.826	0.631	0.596	1.181	7pi7
7pi7_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_002	0.442	0.894	0.639	0.664	0.631	0.787	0.58	1.039	7pi7
7pi7_unrelaxed_rank_017_alphafold2_multimer_v3_model_1_seed_003	7.293	9.397	1.787	2.041	10.38	2.495	1.393	8.711	7pi7
7pi7_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	7.509	9.625	2.056	2.083	10.916	2.956	1.475	8.174	7pi7
7pi7_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	0.472	0.884	0.641	0.627	0.718	0.744	0.584	1.266	7pi7
7pi7_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_001	7.306	9.446	1.934	2.146	10.579	2.781	1.505	8.537	7pi7
7pi7_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.473	0.851	0.697	0.673	0.854	0.704	0.609	1.241	7pi7
7pi7_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_000	14.229	18.882	14.464	9.566	16.849	26.024	12.46	22.452	7pi7
7pi7_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_000	7.262	9.296	1.235	1.419	8.988	1.367	1.026	9.204	7pi7
7pi7_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_003	0.45	0.803	0.587	0.632	0.594	0.683	0.534	1.129	7pi7
7pi7_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_002	0.455	0.825	0.819	0.702	0.834	0.958	0.666	1.245	7pi7
7pi7_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	7.307	9.359	1.384	1.63	9.421	2.058	1.182	8.828	7pi7
7pi7_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_000	7.224	9.25	1.139	1.253	8.83	1.147	0.905	9.239	7pi7
7pi7_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	7.564	9.711	2.593	1.976	10.306	3.395	1.734	8.173	7pi7
7pi7_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_001	7.317	9.322	1.105	1.176	8.869	1.221	0.96	9.295	7pi7
7pi7_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000	0.436	0.87	0.614	0.615	0.703	0.641	0.545	0.999	7pi7
7pi7_unrelaxed_rank_011_alphafold2_multimer_v3_model_3_seed_003	0.465	0.757	0.688	0.61	0.883	0.709	0.571	1.28	7pi7
7pi7_unrelaxed_rank_006_alphafold2_multimer_v3_model_3_seed_004	0.463	0.789	0.767	0.618	1.008	0.671	0.589	1.277	7pi7
7pi7_unrelaxed_rank_009_alphafold2_multimer_v3_model_3_seed_002	0.468	0.799	0.776	0.65	1.021	0.78	0.636	1.285	7pi7
7pi7_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_001	14.09	19.168	13.833	9.06	16.04	28.503	14.381	22.946	7pi7
7pi7_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.44	0.786	0.713	0.674	0.929	0.697	0.607	1.093	7pi7
7pi7_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_003	7.359	9.448	1.773	1.775	9.696	2.734	1.5	8.741	7pi7
7pi7_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_004	0.505	0.781	0.677	0.586	0.799	0.528	0.577	1.443	7pi7
7pi7_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_003	14.364	19.068	13.963	8.614	15.739	25.699	12.322	21.603	7pi7
7pqy_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_002	0.428	0.443	0.773	0.47	3.51	0.35	0.353	0.646	7pqy
7pqy_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_002	0.433	0.427	0.796	0.442	3.509	0.365	0.36	0.731	7pqy
7pqy_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_000	0.424	0.617	0.6	0.306	1.436	0.379	0.327	0.601	7pqy
7pqy_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_002	0.438	0.632	0.685	0.402	3.58	0.366	0.335	0.651	7pqy
7pqy_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.425	0.482	0.663	0.346	3.501	0.339	0.359	0.601	7pqy
7pqy_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.434	0.46	0.846	0.414	3.473	0.324	0.373	0.64	7pqy
7pqy_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_001	0.42	0.491	0.508	0.528	4.561	0.42	0.366	0.624	7pqy
7pqy_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.425	0.463	0.749	0.358	3.475	0.319	0.346	0.58	7pqy
7pqy_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	0.431	0.456	0.859	0.477	3.418	0.35	0.37	0.631	7pqy
7pqy_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_003	0.434	0.448	0.843	0.531	3.459	0.381	0.375	0.674	7pqy
