model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3
7phw_54_3	1.283	0.508	0.543	0.477	4.768	0.725	0.712	4.081
7phw_97_1	0.408	0.381	0.298	0.270	0.383	0.360	0.240	0.919
7phw_37_3	0.376	0.610	0.342	0.345	0.372	0.678	0.240	0.717
7phw_37_4	0.403	0.445	0.354	0.178	0.423	0.327	0.302	0.804
7phw_63_4	0.416	0.495	0.369	0.343	0.424	0.503	0.374	0.815
7phw_63_3	0.409	0.497	0.425	0.346	0.521	0.498	0.461	0.935
7phw_18_2	0.409	0.443	0.310	0.259	0.383	0.361	0.259	0.855
7phw_13_1	0.363	0.483	0.436	0.429	0.407	0.561	0.371	0.776
7phw_39_2	0.419	0.468	0.413	0.402	0.402	0.552	0.393	0.875
7phw_46_1	1.495	0.803	0.990	1.030	5.075	1.116	1.000	4.381
7phw_52_0	0.696	0.519	0.390	0.315	0.409	0.439	0.406	1.999
7phw_34_2	0.441	0.464	0.392	0.393	0.406	0.511	0.436	0.963
7phw_62_4	0.390	0.496	0.489	0.262	0.383	0.537	0.387	0.750
7phw_50_1	0.433	0.450	0.340	0.267	0.346	0.447	0.313	0.953
7phw_62_3	0.347	0.484	0.462	0.260	0.434	0.441	0.397	0.546
7phw_33_1	1.284	0.614	0.834	0.706	4.713	0.860	0.867	3.978
7phw_65_0	0.623	0.441	0.312	0.244	0.382	0.368	0.332	1.685
7phw_98_0	0.400	0.420	0.326	0.302	0.353	0.443	0.319	0.779
7phw_80_1	0.457	0.481	0.435	0.371	0.454	0.445	0.436	0.966
7phw_46_2	0.755	0.626	0.828	0.645	0.989	0.898	0.764	2.104
7phw_52_3	0.415	0.426	0.307	0.242	0.376	0.346	0.324	0.870
7phw_52_4	0.422	0.484	0.321	0.262	0.407	0.344	0.346	0.879
7phw_50_2	0.420	0.413	0.314	0.284	0.371	0.380	0.276	0.864
7phw_62_0	0.433	0.434	0.339	0.291	0.386	0.486	0.349	0.922
7phw_34_1	0.653	0.668	0.504	0.235	0.445	0.386	0.339	1.848
7phw_98_3	0.432	0.464	0.428	0.325	0.358	0.693	0.377	1.015
7phw_65_3	0.423	0.505	0.387	0.334	0.490	0.360	0.410	0.867
7phw_80_2	0.520	0.471	0.390	0.408	0.407	0.432	0.369	1.278
7phw_33_2	1.163	0.527	0.410	0.484	5.629	0.582	0.779	3.799
7phw_98_4	0.421	0.470	0.412	0.419	0.387	0.427	0.356	0.867
7phw_65_4	0.403	0.436	0.313	0.297	0.352	0.590	0.247	0.932
7phw_6_3	0.465	0.453	0.317	0.319	0.377	0.486	0.329	1.026
7phw_66_2	0.441	0.490	0.346	0.256	0.430	0.341	0.311	0.868
7phw_54_0	1.370	0.583	0.626	0.662	5.057	0.999	0.828	4.302
7phw_6_4	0.356	0.641	0.472	0.382	0.374	0.516	0.429	0.553
7phw_28_2	0.411	0.462	0.476	0.280	0.363	0.485	0.333	0.844
7phw_75_0	0.430	0.599	0.457	0.237	0.406	0.440	0.366	0.899
7phw_97_2	0.336	0.426	0.317	0.245	0.403	0.309	0.290	0.603
7phw_37_0	0.404	0.529	0.604	0.509	0.418	0.487	0.391	0.867
7phw_63_0	0.687	0.500	0.355	0.312	0.420	0.383	0.421	1.945
7phw_13_2	0.361	0.422	0.359	0.277	0.364	0.499	0.300	0.906
7phw_39_1	0.429	0.459	0.394	0.356	0.380	0.466	0.367	0.911
7phw_18_1	0.381	0.437	0.289	0.241	0.383	0.319	0.324	0.560
7phw_80_4	0.420	0.462	0.346	0.374	0.395	0.361	0.392	0.845
7phw_33_3	1.258	0.681	0.694	0.622	5.379	0.812	0.837	3.831
7phw_33_4	1.240	0.535	0.473	0.425	3.749	0.829	0.881	3.812
7phw_65_2	0.374	0.478	0.420	0.388	0.388	0.686	0.306	1.046
7phw_98_2	0.338	0.444	0.353	0.341	0.364	0.406	0.323	0.542
7phw_80_3	0.408	0.472	0.500	0.445	0.372	0.471	0.341	0.873
7phw_34_0	0.430	0.441	0.364	0.234	0.349	0.462	0.278	0.855
7phw_50_4	0.406	0.468	0.392	0.423	0.366	0.451	0.386	0.770
7phw_50_3	0.401	0.430	0.350	0.311	0.356	0.472	0.311	0.800
7phw_62_1	0.377	0.428	0.370	0.225	0.363	0.415	0.299	0.575
7phw_52_2	0.390	0.479	0.390	0.348	0.445	0.476	0.376	0.658
7phw_46_3	0.958	0.701	1.181	0.908	2.308	1.204	0.922	2.774
7phw_46_4	1.236	0.678	0.798	0.771	4.626	0.757	0.872	3.794
7phw_13_4	0.440	0.470	0.497	0.225	0.371	0.472	0.374	0.931
7phw_18_0	0.386	0.552	0.421	0.233	0.412	0.431	0.377	0.824
7phw_13_3	0.433	0.470	0.344	0.282	0.385	0.404	0.353	0.811
7phw_39_0	0.448	0.462	0.409	0.324	0.364	0.488	0.350	0.954
7phw_63_1	0.580	0.404	0.309	0.305	0.371	0.359	0.280	1.635
7phw_97_3	0.543	0.505	0.376	0.405	0.412	0.486	0.442	1.284
7phw_37_1	0.344	0.436	0.373	0.250	0.377	0.393	0.359	0.666
7phw_97_4	0.469	0.525	0.311	0.268	0.374	0.333	0.293	0.891
7phw_66_4	0.361	0.444	0.454	0.383	0.387	0.646	0.374	0.829
7phw_28_3	0.355	0.404	0.379	0.231	0.376	0.304	0.264	0.640
7phw_75_1	0.419	0.683	0.325	0.270	0.359	0.380	0.369	0.847
7phw_6_2	0.457	0.599	0.343	0.367	0.404	0.447	0.411	0.982
7phw_28_4	0.421	0.426	0.278	0.250	0.347	0.319	0.294	0.847
7phw_66_3	0.396	0.431	0.323	0.246	0.376	0.269	0.238	0.800
7phw_54_1	1.326	0.660	0.878	0.760	5.819	1.036	0.994	4.000
7nx3_66_2	0.393	0.680	0.843	0.607	0.610	0.834	0.448	0.631
7nx3_54_0	0.411	0.685	0.845	0.589	2.856	0.624	0.482	0.617
7nx3_75_0	0.370	0.630	0.647	0.479	0.643	0.673	0.504	0.626
7nx3_28_2	0.373	0.673	0.766	0.580	0.739	0.774	0.386	0.622
7nx3_37_0	0.382	0.724	0.782	0.403	0.574	0.705	0.574	0.677
7nx3_97_2	0.364	0.583	0.626	0.449	0.762	0.796	0.381	0.559
7nx3_63_0	0.371	0.671	0.915	0.574	1.632	0.881	0.669	0.811
7nx3_13_2	0.367	0.716	1.093	0.777	1.528	1.026	0.606	0.734
7nx3_39_1	0.336	0.633	0.404	0.507	0.754	0.584	0.408	0.540
7nx3_18_1	0.378	0.741	0.905	0.626	0.713	0.887	0.519	0.699
7nx3_46_2	0.332	0.706	1.005	0.683	1.245	0.830	0.474	0.644
7nx3_52_3	0.364	0.667	0.920	0.643	3.264	0.925	0.473	0.670
7nx3_6_1	0.386	0.723	0.980	0.783	0.677	0.970	0.524	0.572
7nx3_52_4	0.356	0.548	0.558	0.397	2.720	0.657	0.351	0.497
7nx3_50_2	0.398	0.647	0.707	0.558	0.849	0.796	0.423	0.670
7nx3_62_0	0.372	0.624	0.736	0.484	0.710	0.793	0.358	0.602
7nx3_34_1	0.334	0.644	0.729	0.506	0.979	0.608	0.433	0.625
7nx3_65_3	0.393	0.565	0.823	0.801	2.657	0.844	0.424	0.614
7nx3_98_3	0.364	0.605	0.283	0.248	4.578	0.599	0.379	0.755
7nx3_80_2	0.430	0.505	0.749	0.698	2.324	0.953	0.392	0.687
7nx3_65_4	0.367	0.536	0.782	0.677	3.473	0.653	0.322	0.615
7nx3_98_4	0.389	0.612	0.721	0.584	0.390	0.741	0.427	0.561
7nx3_33_2	0.345	0.607	0.709	0.549	0.619	0.672	0.412	0.635
7nx3_13_4	0.382	0.678	1.034	0.718	0.819	0.977	0.566	0.713
7nx3_18_0	0.380	0.682	0.913	0.695	2.537	0.914	0.416	0.588
7nx3_13_3	0.363	0.617	0.888	0.585	0.485	0.675	0.362	0.549
7nx3_39_0	0.355	0.615	0.653	0.535	0.404	0.664	0.410	0.599
7nx3_63_1	0.378	0.590	0.699	0.662	0.978	0.661	0.347	0.499
7nx3_37_1	0.359	0.758	1.007	0.678	0.504	0.889	0.580	0.754
7nx3_97_3	0.362	0.582	0.491	0.357	0.656	0.697	0.395	0.552
7nx3_97_4	0.357	0.710	0.813	0.529	0.791	0.766	0.498	0.694
7nx3_66_4	0.387	0.667	0.492	0.347	0.843	0.754	0.472	0.636
7nx3_75_1	0.368	0.689	0.952	0.826	0.896	0.928	0.450	0.606
7nx3_28_3	0.374	0.647	0.892	0.602	0.966	0.671	0.387	0.550
7nx3_28_4	0.309	0.473	0.508	0.516	0.830	0.691	0.315	0.609
7nx3_66_3	0.394	0.521	0.825	0.595	0.449	0.911	0.463	0.569
7nx3_54_1	0.443	0.653	0.774	0.749	2.125	0.834	0.445	0.786
7nx3_80_4	0.431	0.516	0.661	0.988	4.540	0.707	0.477	0.681
7nx3_33_3	0.365	0.633	0.612	0.422	0.863	0.669	0.469	0.646
7nx3_98_2	0.340	0.705	0.943	0.608	1.685	0.823	0.593	0.726
7nx3_65_2	0.489	0.686	1.029	1.073	4.276	1.119	0.548	0.661
7nx3_33_4	0.394	0.503	0.880	0.747	0.722	0.816	0.339	0.515
7nx3_80_3	0.402	0.832	1.224	0.912	4.011	1.197	0.757	0.739
7nx3_50_4	0.331	0.515	0.504	0.607	0.830	0.737	0.392	0.619
7nx3_34_0	0.355	0.682	0.943	0.657	1.619	0.953	0.461	0.651
7nx3_50_3	0.417	0.620	0.479	0.526	0.733	0.839	0.468	0.685
7nx3_62_1	0.378	0.694	0.963	0.814	0.977	0.954	0.481	0.710
7nx3_52_2	0.373	0.632	0.806	0.555	1.106	0.924	0.410	0.700
7nx3_6_0	0.369	0.607	0.795	0.571	1.518	0.587	0.347	0.541
7nx3_46_3	0.318	0.438	0.591	0.447	1.033	0.628	0.380	0.596
7nx3_46_4	0.335	0.648	0.787	0.663	0.759	0.684	0.416	0.534
7nx3_65_1	0.447	0.656	1.159	0.991	3.554	1.139	0.525	0.720
7nx3_98_1	0.365	0.625	0.788	0.534	0.686	0.665	0.370	0.579
7nx3_80_0	0.412	0.728	1.215	1.164	4.254	1.294	0.669	0.505
7nx3_33_0	0.358	0.693	1.188	0.768	3.776	0.777	0.402	0.567
7nx3_50_0	0.373	0.656	0.865	0.722	0.960	0.974	0.403	0.653
7nx3_62_2	0.352	0.647	0.688	0.568	0.740	0.850	0.458	0.651
7nx3_34_4	0.339	0.591	0.726	0.522	0.807	0.836	0.383	0.562
7nx3_34_3	0.360	0.708	0.834	0.614	1.193	0.875	0.542	0.783
7nx3_52_1	0.362	0.694	0.952	0.621	2.087	0.910	0.418	0.605
7nx3_6_3	0.340	0.699	1.034	0.700	1.288	0.887	0.560	0.698
7nx3_6_4	0.364	0.708	0.996	0.599	0.537	0.698	0.440	0.555
7nx3_46_0	0.339	0.590	0.648	0.619	0.452	0.648	0.395	0.579
7nx3_13_0	0.399	0.695	0.898	0.666	1.887	0.888	0.479	0.708
7nx3_18_4	0.327	0.564	0.546	0.375	0.955	0.529	0.360	0.485
7nx3_39_3	0.308	0.619	0.862	0.615	1.007	0.604	0.436	0.522
7nx3_39_4	0.326	0.638	0.781	0.594	1.106	0.726	0.443	0.551
7nx3_18_3	0.392	0.656	0.879	0.699	0.620	0.930	0.451	0.704
7nx3_63_2	0.358	0.747	1.162	0.744	1.624	0.802	0.585	0.665
7nx3_37_2	0.316	0.628	0.898	0.563	0.624	0.948	0.398	0.669
7nx3_97_0	0.387	0.611	0.491	0.638	0.821	0.783	0.377	0.551
7nx3_66_0	0.395	0.633	0.661	0.511	0.752	0.766	0.416	0.600
7nx3_54_2	0.386	0.694	0.966	0.776	2.011	0.828	0.467	0.678
7nx3_75_2	0.350	0.657	0.746	0.560	1.217	0.764	0.471	0.601
7nx3_28_0	0.373	0.643	0.771	0.741	1.977	0.935	0.406	0.653
7nx3_46_1	0.387	0.524	0.839	0.645	0.700	0.727	0.373	0.658
7nx3_52_0	0.451	0.711	0.707	0.914	3.846	0.998	0.393	0.452
7nx3_6_2	0.362	0.694	0.839	0.780	0.850	0.826	0.499	0.580
7nx3_62_4	0.396	0.731	0.814	0.519	0.739	0.744	0.504	0.675
7nx3_34_2	0.367	0.654	0.692	0.622	0.901	0.883	0.425	0.657
7nx3_50_1	0.373	0.694	0.878	0.620	0.857	1.024	0.503	0.748
7nx3_62_3	0.406	0.662	0.532	0.547	0.778	0.786	0.453	0.685
7nx3_33_1	0.365	0.685	0.904	0.672	0.844	0.877	0.479	0.644
7nx3_98_0	0.373	0.676	0.784	0.658	0.961	0.738	0.385	0.599
7nx3_65_0	0.444	0.659	1.004	0.943	2.444	1.007	0.440	0.668
7nx3_80_1	0.493	0.766	1.263	1.083	4.777	1.324	0.587	0.457
7nx3_54_4	0.419	0.698	0.904	0.832	2.329	0.774	0.458	0.622
7nx3_75_3	0.379	0.744	0.966	0.712	0.878	0.878	0.522	0.630
7nx3_28_1	0.362	0.760	0.959	0.604	0.794	0.888	0.402	0.659
7nx3_75_4	0.417	0.658	0.706	0.726	0.955	0.955	0.450	0.598
7nx3_66_1	0.378	0.634	0.643	0.558	0.673	0.832	0.397	0.631
7nx3_54_3	0.439	0.713	1.206	0.824	2.199	0.946	0.511	0.801
7nx3_37_3	0.372	0.783	1.069	0.675	0.752	0.913	0.474	0.663
7nx3_97_1	0.385	0.601	0.795	0.816	0.793	0.964	0.453	0.611
7nx3_37_4	0.383	0.684	0.916	0.636	0.827	0.850	0.516	0.688
7nx3_63_4	0.347	0.648	0.587	0.527	0.519	0.464	0.293	0.532
7nx3_63_3	0.364	0.707	0.966	0.710	2.892	0.938	0.528	0.665
7nx3_18_2	0.404	0.635	0.925	0.698	0.646	0.798	0.414	0.570
7nx3_13_1	0.434	0.738	1.082	0.844	1.143	1.111	0.578	0.798
7nx3_39_2	0.353	0.672	0.969	0.707	0.833	0.957	0.562	0.737
7n4j_62_1	0.608	0.440	1.775	1.171	2.305	0.447	0.602	1.563
7n4j_50_3	0.617	0.484	2.122	1.062	1.825	0.643	0.675	1.859
7n4j_34_0	0.612	0.513	2.004	1.188	2.538	0.642	0.689	1.847
7n4j_50_4	0.641	0.407	0.697	0.887	1.899	0.307	0.400	1.578
7n4j_80_3	0.604	0.386	0.634	1.056	1.403	0.379	0.355	1.591
7n4j_33_4	0.581	0.436	0.769	1.058	1.745	0.681	0.596	1.554
7n4j_98_2	0.639	0.456	2.097	0.952	1.908	0.538	0.518	1.622
7n4j_65_2	0.609	0.404	0.948	1.169	1.852	0.411	0.442	1.592
7n4j_6_1	0.586	0.379	0.658	0.947	1.949	0.419	0.511	1.703
7n4j_33_3	0.619	0.436	0.594	1.027	2.284	0.472	0.476	1.752
7n4j_80_4	0.611	0.449	0.755	1.185	1.411	0.634	0.630	1.824
7n4j_46_4	0.582	0.442	0.631	1.193	1.296	0.621	0.668	1.694
7n4j_46_3	0.618	0.402	1.911	1.017	1.240	0.546	0.489	1.732
7n4j_52_2	0.620	0.421	2.019	1.132	1.421	0.475	0.531	1.683
7n4j_63_1	0.584	0.426	0.843	1.087	1.397	0.389	0.482	1.625
7n4j_39_0	0.617	0.417	0.503	0.947	2.318	0.522	0.540	1.743
7n4j_13_3	0.600	0.387	0.649	1.059	2.460	0.447	0.450	1.675
7n4j_18_0	0.594	0.367	0.924	0.930	1.389	0.309	0.399	1.579
7n4j_13_4	0.648	0.411	0.690	1.380	2.460	0.398	0.537	1.898
7n4j_54_1	0.577	0.385	2.000	1.002	1.910	0.409	0.471	1.544
7n4j_66_3	0.634	0.467	0.577	1.366	1.333	0.523	0.569	1.721
7n4j_28_4	0.621	0.537	2.044	2.123	2.441	0.529	0.507	1.530
7n4j_28_3	0.647	0.419	0.784	0.886	1.272	0.436	0.498	1.632
7n4j_75_1	0.589	0.377	0.769	0.943	1.372	0.407	0.472	1.602
7n4j_66_4	0.630	0.451	0.806	1.120	1.448	0.544	0.605	1.657
7n4j_97_4	0.595	0.418	0.889	1.275	2.591	0.496	0.513	1.659
7n4j_97_3	0.607	0.455	2.075	1.232	2.499	0.702	0.634	1.795
7n4j_37_1	0.573	0.381	0.655	0.973	3.168	0.441	0.474	1.632
7n4j_52_4	0.609	0.456	2.077	0.881	1.501	0.485	0.552	1.710
7n4j_52_3	0.600	0.353	0.936	0.838	1.821	0.358	0.498	1.648
7n4j_46_2	0.634	0.452	1.954	1.196	1.880	0.506	0.573	1.601
7n4j_6_0	0.644	0.448	2.176	0.865	2.882	0.466	0.546	1.623
7n4j_33_2	0.640	0.507	1.968	0.966	1.658	0.376	0.394	1.541
7n4j_65_4	0.599	0.382	0.861	0.958	2.396	0.331	0.490	1.579
7n4j_98_4	0.630	0.419	0.659	0.874	2.997	0.466	0.546	1.712
7n4j_80_2	0.576	0.367	0.693	1.149	2.149	0.390	0.428	1.590
7n4j_65_3	0.600	0.398	0.957	0.837	2.350	0.451	0.431	1.629
7n4j_98_3	0.635	0.439	0.774	1.052	1.734	0.516	0.556	1.673
7n4j_34_1	0.680	0.461	1.437	1.014	1.901	0.304	0.421	1.678
7n4j_62_0	0.590	0.373	1.872	1.000	1.326	0.280	0.365	1.617
7n4j_50_2	0.611	0.403	1.932	0.986	2.899	0.366	0.414	1.611
7n4j_97_2	0.610	0.406	0.776	0.950	2.246	0.565	0.559	1.699
7n4j_37_0	0.598	0.380	0.838	0.959	1.178	0.327	0.416	1.547
7n4j_28_2	0.607	0.393	1.002	0.851	1.323	0.243	0.395	1.562
7n4j_75_0	0.603	0.378	2.133	0.903	2.546	0.228	0.365	1.578
7n4j_54_0	0.603	0.410	0.928	0.998	1.644	0.613	0.557	1.770
7n4j_66_2	0.626	0.505	0.633	1.122	1.376	0.668	0.659	1.725
7n4j_18_1	0.598	0.372	1.035	1.095	2.285	0.265	0.412	1.606
7n4j_39_1	0.599	0.396	0.948	1.029	2.621	0.354	0.484	1.684
7n4j_13_2	0.609	0.483	0.778	0.976	1.851	0.301	0.380	1.520
7n4j_63_0	0.654	0.431	0.558	0.961	1.887	0.495	0.524	1.712
7n4j_37_4	0.635	0.400	0.734	1.130	1.868	0.567	0.455	1.798
7n4j_97_1	0.628	0.426	0.766	1.141	1.786	0.422	0.478	1.604
7n4j_37_3	0.632	0.397	1.964	0.918	2.897	0.363	0.446	1.757
7n4j_54_3	0.602	0.371	0.711	1.069	1.415	0.418	0.432	1.636
7n4j_66_1	0.605	0.390	1.962	0.956	2.356	0.532	0.491	1.676
7n4j_75_4	0.600	0.481	2.522	0.761	1.694	0.241	0.364	1.605
7n4j_28_1	0.598	0.379	0.785	0.897	2.311	0.384	0.496	1.584
7n4j_75_3	0.616	0.380	1.025	0.898	2.048	0.270	0.421	1.603
7n4j_54_4	0.584	0.442	0.581	0.850	1.187	0.425	0.541	1.638
7n4j_39_2	0.618	0.410	2.222	0.862	2.116	0.323	0.383	1.585
7n4j_13_1	0.596	0.439	0.430	0.934	2.562	0.574	0.506	1.646
7n4j_18_2	0.630	0.490	1.746	1.053	2.325	0.410	0.527	1.557
7n4j_63_3	0.604	0.343	2.203	0.876	1.770	0.293	0.384	1.661
7n4j_63_4	0.638	0.592	2.131	0.995	1.625	0.439	0.578	1.638
7n4j_52_0	0.603	0.421	0.779	1.011	2.217	0.543	0.611	1.680
7n4j_46_1	0.593	0.344	0.797	1.267	1.353	0.278	0.435	1.644
7n4j_80_1	0.605	0.439	0.566	0.906	2.895	0.586	0.589	1.729
7n4j_6_4	0.652	0.430	0.767	1.133	2.304	0.314	0.397	1.649
7n4j_98_0	0.591	0.392	0.689	1.026	1.224	0.407	0.532	1.617
7n4j_65_0	0.619	0.414	0.733	1.024	1.423	0.399	0.463	1.668
7n4j_33_1	0.682	0.499	2.072	0.730	2.064	0.509	0.337	1.609
7n4j_6_3	0.660	0.482	0.843	1.233	2.589	0.519	0.539	1.809
7n4j_62_3	0.621	0.407	1.891	1.200	1.440	0.442	0.506	1.734
7n4j_50_1	0.662	0.466	1.837	1.039	2.659	0.534	0.596	1.883
7n4j_34_2	0.620	0.452	0.637	1.226	1.323	0.630	0.600	1.716
7n4j_62_4	0.620	0.449	0.568	1.344	1.791	0.680	0.612	1.780
7n4j_63_2	0.586	0.374	1.056	0.938	1.377	0.314	0.394	1.549
7n4j_18_3	0.645	0.416	0.737	1.239	1.412	0.277	0.438	1.694
7n4j_39_4	0.610	0.370	0.821	0.938	2.606	0.384	0.480	1.773
7n4j_39_3	0.660	0.577	0.795	1.062	1.936	0.563	0.660	1.709
7n4j_18_4	0.593	0.379	1.071	1.142	2.010	0.224	0.352	1.546
7n4j_13_0	0.626	0.426	1.282	1.002	2.663	0.472	0.512	1.562
7n4j_28_0	0.595	0.418	2.114	0.829	2.069	0.514	0.522	1.571
7n4j_75_2	0.593	0.403	0.850	1.168	1.369	0.500	0.516	1.647
7n4j_54_2	0.612	0.530	1.109	1.158	1.931	0.473	0.567	1.701
7n4j_66_0	0.598	0.396	1.924	0.951	2.180	0.366	0.476	1.722
7n4j_97_0	0.622	0.418	0.769	0.998	2.267	0.439	0.530	1.769
7n4j_37_2	0.606	0.393	2.082	1.095	2.567	0.413	0.359	1.612
7n4j_34_3	0.614	0.479	2.041	1.036	1.562	0.682	0.623	1.726
7n4j_34_4	0.625	0.472	0.988	0.936	2.433	0.650	0.601	1.734
7n4j_62_2	0.644	0.466	1.009	0.967	2.394	0.581	0.572	1.810
7n4j_50_0	0.602	0.423	0.692	0.993	1.301	0.512	0.549	1.626
7n4j_33_0	1.175	0.910	1.806	1.081	3.049	0.388	0.428	1.895
7n4j_6_2	0.615	0.360	0.720	0.851	2.560	0.269	0.308	1.675
7n4j_80_0	0.603	0.368	1.016	0.686	1.219	0.262	0.386	1.596
7n4j_65_1	0.611	0.494	1.273	1.008	2.622	0.631	0.587	1.625
7n4j_98_1	0.612	0.415	1.021	1.127	2.104	0.381	0.470	1.530
7n4j_46_0	0.643	0.404	1.924	0.915	2.777	0.385	0.510	1.782
7n4j_52_1	0.646	0.461	0.782	0.960	1.938	0.470	0.628	1.622
7phu_62_2	0.408	0.498	0.672	0.349	1.558	0.628	0.594	0.502
7phu_50_0	0.364	0.435	0.571	0.386	3.411	0.385	0.448	0.523
7phu_34_4	0.396	0.462	0.539	0.317	2.660	0.541	0.574	0.693
7phu_34_3	0.399	0.468	0.650	0.411	3.475	0.436	0.585	0.528
7phu_65_1	0.384	0.472	0.482	0.353	1.898	0.518	0.580	0.611
7phu_98_1	0.439	0.537	0.645	0.578	3.290	0.573	0.711	0.560
7phu_80_0	0.417	0.483	0.424	0.363	1.899	0.575	0.537	0.659
7phu_33_0	0.439	0.491	0.484	0.300	3.091	0.612	0.605	0.637
7phu_46_0	0.447	0.533	0.763	0.506	0.988	0.696	0.738	0.630
7phu_52_1	0.409	0.524	0.465	0.372	3.957	0.673	0.812	0.685
7phu_63_2	0.423	0.519	0.571	0.433	0.926	0.586	0.619	0.689
7phu_18_4	0.374	0.420	0.582	0.304	2.825	0.424	0.374	0.444
7phu_13_0	0.424	0.551	0.457	0.369	2.936	0.681	0.714	0.684
7phu_39_3	0.375	0.479	0.370	0.287	3.193	0.465	0.454	0.555
7phu_39_4	0.414	0.466	0.464	0.345	2.319	0.547	0.624	0.596
7phu_18_3	0.413	0.486	0.648	0.397	4.052	0.670	0.569	0.569
7phu_54_2	0.408	0.539	0.689	0.384	4.050	0.627	0.559	0.510
7phu_66_0	0.370	0.489	0.713	0.484	0.745	0.530	0.645	0.462
7phu_75_2	0.393	0.480	0.708	0.398	3.479	0.604	0.582	0.501
7phu_6_1	0.417	0.485	0.487	0.402	3.555	0.702	0.504	0.608
7phu_28_0	0.410	0.479	0.512	0.405	1.676	0.544	0.624	0.631
7phu_37_2	0.411	0.531	0.852	0.496	3.765	0.757	0.664	0.551
7phu_97_0	0.392	0.506	0.773	0.400	1.916	0.476	0.426	0.520
7phu_52_0	0.418	0.469	0.639	0.299	2.851	0.446	0.429	0.817
7phu_46_1	0.399	0.431	0.417	0.291	1.546	0.472	0.452	0.724
7phu_33_1	0.420	0.457	0.430	0.320	3.448	0.516	0.486	0.546
7phu_98_0	0.418	0.523	0.762	0.504	3.619	0.745	0.777	0.584
7phu_65_0	0.377	0.452	0.526	0.320	4.555	0.498	0.529	0.501
7phu_80_1	0.373	0.485	0.533	0.454	1.582	0.539	0.621	0.607
7phu_62_4	0.383	0.454	0.664	0.435	1.620	0.608	0.585	0.578
7phu_34_2	0.375	0.494	0.631	0.347	4.365	0.453	0.453	0.429
7phu_62_3	0.374	0.469	0.575	0.441	1.127	0.467	0.621	0.576
7phu_50_1	0.404	0.512	0.689	0.416	3.327	0.545	0.650	0.579
7phu_37_3	0.403	0.478	0.376	0.425	3.099	0.594	0.588	0.622
7phu_97_1	0.399	0.481	0.643	0.350	4.234	0.488	0.558	0.537
7phu_37_4	0.406	0.540	0.521	0.321	4.192	0.590	0.608	0.617
7phu_54_4	0.406	0.549	0.844	0.494	3.283	0.510	0.711	0.618
7phu_75_3	0.385	0.434	0.558	0.441	1.437	0.455	0.523	0.530
7phu_6_0	0.404	0.467	0.362	0.335	0.851	0.469	0.498	0.496
7phu_28_1	0.401	0.509	0.615	0.348	2.554	0.557	0.612	0.679
7phu_75_4	0.412	0.489	0.675	0.309	1.355	0.684	0.568	0.544
7phu_54_3	0.437	0.528	0.821	0.532	3.514	0.682	0.665	0.497
7phu_66_1	0.397	0.488	0.529	0.463	2.078	0.570	0.628	0.661
7phu_18_2	0.410	0.448	0.579	0.353	3.545	0.604	0.520	0.599
7phu_13_1	0.440	0.522	0.680	0.505	0.958	0.599	0.598	0.576
7phu_39_2	0.396	0.500	0.589	0.318	3.583	0.616	0.640	0.603
7phu_63_4	0.415	0.501	0.753	0.444	3.611	0.442	0.459	0.608
7phu_63_3	0.395	0.486	0.573	0.466	2.329	0.578	0.617	0.539
7phu_37_0	0.385	0.467	0.577	0.319	1.148	0.429	0.561	0.542
7phu_97_2	0.402	0.539	0.524	0.420	2.786	0.491	0.635	0.523
7phu_6_4	0.380	0.474	0.702	0.505	3.280	0.622	0.644	0.581
7phu_54_0	0.412	0.457	0.629	0.291	1.625	0.542	0.515	0.678
7phu_66_2	0.420	0.506	0.777	0.432	3.615	0.478	0.598	0.663
7phu_75_0	0.381	0.469	0.445	0.456	2.916	0.538	0.479	0.593
7phu_6_3	0.389	0.498	0.735	0.306	1.389	0.499	0.616	0.530
7phu_28_2	0.390	0.484	0.521	0.376	4.194	0.637	0.490	0.527
7phu_13_2	0.405	0.517	0.664	0.429	3.218	0.601	0.771	0.638
7phu_39_1	0.400	0.551	0.728	0.626	3.426	0.607	0.795	0.628
7phu_18_1	0.409	0.527	0.424	0.486	3.259	0.738	0.712	0.660
7phu_63_0	0.390	0.506	0.547	0.427	2.611	0.569	0.675	0.541
7phu_52_3	0.392	0.464	0.538	0.381	3.089	0.548	0.602	0.563
7phu_52_4	0.396	0.485	0.588	0.439	0.961	0.541	0.589	0.492
7phu_46_2	0.488	0.506	0.604	0.382	4.752	0.392	0.512	0.607
7phu_65_3	0.372	0.442	0.485	0.339	1.139	0.469	0.601	0.480
7phu_98_3	0.409	0.496	0.543	0.434	1.264	0.572	0.657	0.567
7phu_80_2	0.449	0.509	0.683	0.350	3.090	0.545	0.620	0.477
7phu_65_4	0.407	0.492	0.449	0.378	1.360	0.593	0.723	0.720
7phu_98_4	0.391	0.445	0.478	0.321	2.375	0.458	0.512	0.534
7phu_33_2	0.371	0.454	0.406	0.383	2.639	0.498	0.492	0.620
7phu_62_0	0.402	0.477	0.672	0.440	1.871	0.481	0.685	0.456
7phu_50_2	0.414	0.469	0.529	0.308	2.014	0.433	0.523	0.796
7phu_34_1	0.391	0.481	0.568	0.508	0.957	0.522	0.720	0.563
